,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",102,64646,0.609430627131725,15450400.0,104025,24913254.0,0215-0221,82808342.0
1,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",102,29037,-0.550830677845497,6902714.0,133062,31815968.0,0222-0228,37856093.0
2,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",97,15641,-0.4613424251816648,3745414.0,148703,35561382.0,0301-0307,24890889.0
3,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",83,4892,-0.6872322741512691,1156666.0,153595,36718048.0,0308-0314,10221300.0
4,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",55,1618,-0.669255928045789,383513.0,155213,37101561.0,0315-0321,5654914.0
5,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",29,506,-0.6872682323856613,124246.0,155719,37225807.0,0322-0328,2922083.0
6,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",8,71,-0.8596837944664032,16890.0,155790,37242697.0,0329-0404,1208601.0
7,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,9,-0.8732394366197183,2046.0,155799,37244743.0,0405-0411,119969462.0
8,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",6,426,1.0,37080.0,156225,37281823.0,0426-0502,72551767.0
9,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",6,552,0.29577464788732394,45630.0,156777,37327453.0,0503-0509,39337124.0
10,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",7,216,-0.6086956521739131,18040.0,156993,37345493.0,0510-0516,10652302.0
11,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",5,14,-0.8613861386138614,1085.0,157007,37346578.0,0517-0520,122069.0
12,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,20,1.0,1100.0,157027,37347678.0,0712-0725,721016.0
13,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,5,-0.4444444444444444,275.0,157032,37347953.0,0726-0801,234724.0
14,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,15,2.0,1650.0,157047,37349603.0,0802-0808,136779.0
15,中華民國,我沒有談的那場戀愛,2021-02-10T00:00:00,南人電影有限公司,"可米傳媒事業股份有限公司,海納百川娛樂有限公司,親愛的工作室有限公司,鏡文學股份有限公司,原點概念有限公司,華文創股份有限公司,南人電影有限公司",1,0,-1.0,0.0,157047,37349603.0,0809-0815,108490.0
