,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,495486,2.138410671531182,118044044.0,651267,154971101.0,0405-0411,119969462.0
1,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,413710,-0.16504199916849316,98899624.0,1064977,253870725.0,0412-0418,100610393.0
2,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,296559,-0.28317178700055595,71174265.0,1361536,325044990.0,0419-0425,97148285.0
3,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,196139,-0.3386172734599186,47130475.0,1557675,372175465.0,0426-0502,72551767.0
4,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,89796,-0.542181820035791,21433593.0,1647471,393609058.0,0503-0509,39337124.0
5,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",99,27173,-0.6973918660073946,6496728.0,1674644,400105786.0,0510-0516,10652302.0
6,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",38,343,-0.9623076923076923,80955.0,1674987,400186741.0,0517-0520,122069.0
7,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",40,1914,1.0,490514.0,1676901,400677255.0,0712-0725,721016.0
8,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",36,636,-0.13821138211382114,160980.0,1677537,400838235.0,0726-0801,234724.0
9,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",23,327,-0.4858490566037736,84174.0,1677864,400922409.0,0802-0808,136779.0
10,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",9,203,-0.37920489296636084,52360.0,1678067,400974769.0,0809-0815,108490.0
11,中華民國,當男人戀愛時,2021-04-01T00:00:00,金盞花大影業股份有限公司,"金盞花大影業股份有限公司,(香港)眾合千澄影視文化傳媒有限公司",4,86,-0.5763546798029556,21765.0,1678153,400996534.0,0816-0822,297256.0
