,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",96,51124,0.7951473015204186,12010244.0,78389,18337924.0,0201-0207,17826410.0
1,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",97,51551,0.008352241608637822,12347894.0,129940,30685818.0,0208-0214,66230729.0
2,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",94,48041,-0.06808791294058311,11519621.0,177981,42205439.0,0215-0221,82808342.0
3,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",89,21266,-0.557336441789305,5097984.0,199247,47303423.0,0222-0228,37856093.0
4,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",82,8953,-0.5789993416721527,2179095.0,208200,49482518.0,0301-0307,24890889.0
5,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",49,2440,-0.727465653970736,587373.0,210640,50069891.0,0308-0314,10221300.0
6,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",23,779,-0.6807377049180328,204160.0,211419,50274051.0,0315-0321,5654914.0
7,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",16,209,-0.7317073170731707,48738.0,211628,50322789.0,0322-0328,2922083.0
8,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",1,3,-0.9856459330143541,770.0,211631,50323559.0,0329-0404,1208601.0
9,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",7,544,1.0,45910.0,212175,50369469.0,0412-0418,100610393.0
10,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",8,780,0.4338235294117647,65080.0,212955,50434549.0,0419-0425,97148285.0
11,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",9,579,-0.25769230769230766,49320.0,213534,50483869.0,0426-0502,72551767.0
12,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",7,231,-0.6010362694300518,17930.0,213765,50501799.0,0503-0509,39337124.0
13,中華民國,緝魂,2021-01-29T00:00:00,威視股份有限公司,"嘉陽電影有限公司,Pon Pon Pictures Limited,海寧鐵幕真文化傳媒有限公司,霍爾果斯眾合千澄影業有限公司",1,252,1.0,51660.0,214017,50553459.0,1206-1212,66005448.0
