,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,97,23000,0.06609808102345416,5425078.0,43113,10175782.0,0301-0307,24890889.0
1,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,96,7667,-0.6666521739130434,1815083.0,50780,11990865.0,0308-0314,10221300.0
2,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,70,2891,-0.6229294378505282,691059.0,53671,12681924.0,0315-0321,5654914.0
3,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,54,870,-0.699066067104808,204783.0,54541,12886707.0,0322-0328,2922083.0
4,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,6,169,-0.8057471264367816,40410.0,54710,12927117.0,0329-0404,1208601.0
5,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,43,-0.7455621301775148,10277.0,54753,12937394.0,0405-0411,119969462.0
6,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,2,259,1.0,13805.0,55012,12951199.0,0419-0425,97148285.0
7,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,2,346,0.3359073359073359,18310.0,55358,12969509.0,0426-0502,72551767.0
8,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,7,450,0.30057803468208094,38815.0,55808,13008324.0,0503-0509,39337124.0
9,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,8,244,-0.4577777777777778,23300.0,56052,13031624.0,0510-0516,10652302.0
10,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,2,10,-0.8913043478260869,725.0,56062,13032349.0,0517-0520,122069.0
11,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,23,1.0,1265.0,56085,13033614.0,0712-0725,721016.0
12,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,6,-0.5384615384615384,330.0,56091,13033944.0,0726-0801,234724.0
13,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,11,0.8333333333333334,1210.0,56102,13035154.0,0802-0808,136779.0
14,中華民國,複身犯,2021-02-26T00:00:00,犢影制作電影有限公司,犢影制作電影有限公司##樂到家國際娛樂股份有限公司##良人行影業有限公司##麻吉砥加電影有限公司,1,12,0.09090909090909091,1320.0,56114,13036474.0,0809-0815,108490.0
