,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",100,213254,1.0828433574902818,50598784.0,314972,74566758.0,0208-0214,66230729.0
1,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",99,196930,-0.07654721599594849,46869416.0,511902,121436174.0,0215-0221,82808342.0
2,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",99,89458,-0.5457370639313461,21102468.0,601360,142538642.0,0222-0228,37856093.0
3,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",94,47313,-0.47111493661830134,11130292.0,648673,153668934.0,0301-0307,24890889.0
4,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",90,19108,-0.5961363684399636,4451596.0,667781,158120530.0,0308-0314,10221300.0
5,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",86,9523,-0.5016223571279046,2226372.0,677304,160346902.0,0315-0321,5654914.0
6,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",80,3511,-0.6313136616612413,820390.0,680815,161167292.0,0322-0328,2922083.0
7,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",59,1381,-0.606664767872401,319362.0,682196,161486654.0,0329-0404,1208601.0
8,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",15,273,-0.8023171614771905,60851.0,682469,161547505.0,0405-0411,119969462.0
9,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",7,77,-0.717948717948718,17330.0,682546,161564835.0,0412-0418,100610393.0
10,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",5,191,1.0,12430.0,682737,161577265.0,0510-0516,10652302.0
11,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",3,48,-0.7486910994764397,3095.0,682785,161580360.0,0517-0520,122069.0
12,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,85,1.0,6253.0,682870,161586613.0,0712-0725,721016.0
13,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,25,-0.40476190476190477,2342.0,682895,161588955.0,0726-0801,234724.0
14,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,8,-0.68,910.0,682903,161589865.0,0802-0808,136779.0
15,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,60,6.5,5800.0,682963,161595665.0,0809-0815,108490.0
16,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",2,49,-0.18333333333333332,4170.0,683012,161599835.0,0816-0822,297256.0
17,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,10,1.0,1600.0,683022,161601435.0,0927-1003,530421.0
18,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,19,0.9,2820.0,683041,161604255.0,1004-1010,615938.0
19,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,15,-0.21052631578947367,2320.0,683056,161606575.0,1011-1017,1487328.0
20,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,5,-0.6666666666666666,700.0,683061,161607275.0,1018-1024,2549123.0
21,中華民國,角頭－浪流連,2021-02-05T00:00:00,威視股份有限公司,"巧克麗娛樂股份有限公司,台北市電影委員會",1,6,0.2,660.0,683067,161607935.0,1025-1031,2261993.0
