,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,加拿大,哈柏太空之旅 3D,2019-02-04T00:00:00,國際電影事業有限公司,IMAX Corporation,1,7,6.0,1050.0,695,102860.0,20_1228-0103,94716742.0
1,加拿大,深海獵奇 3D,2019-02-03T00:00:00,國際電影事業有限公司,IMAX Corporation,1,5,1.0,500.0,1306,162859.0,20_1228-0103,94716742.0
2,阿根廷,計高一籌,2019-10-09T00:00:00,海鵬影業有限公司,Latido Consorcio De Exportacion Del Cine Espanol SL,1,12,-0.7209302325581395,1800.0,3115,633680.0,20_1228-0103,94716742.0
3,英國,皮諾丘的奇幻旅程,2020-09-18T00:00:00,海鵬影業有限公司,HANWAY FILMS LIMTED,3,73,-0.6588785046728972,4780.0,7736,1631393.0,20_1228-0103,94716742.0
4,不丹,不丹是教室,2020-07-10T00:00:00,海鵬影業有限公司,HX Investment (HK) Limited,2,93,-0.7590673575129534,6890.0,36000,7529251.0,20_1228-0103,94716742.0
5,日本,看不見的目擊者,2020-10-16T00:00:00,華映娛樂股份有限公司,"MOONWATCHER Co., Ltd",1,34,0.8888888888888888,5260.0,16028,3631614.0,20_1228-0103,94716742.0
6,日本,角落小夥伴電影版：魔法繪本裡的新朋友(日語版),2020-07-03T00:00:00,威視股份有限公司,"ASMIK ACE, INC.",5,694,1.0,46925.0,344057,80228661.0,20_1228-0103,94716742.0
7,日本,藍色恐懼：數位修復版,2020-07-17T00:00:00,光年映畫有限公司,MADHOUSE Inc. ,1,290,1.0,70905.0,38125,9035306.0,20_1228-0103,94716742.0
8,香港,麥路人,2020-09-17T00:00:00,華映娛樂股份有限公司,寰亞電影製作有限公司##無限動力實業有限公司##北京拉近影業有限公司##寰亞電影發行(北京）有限公司##中影寰亞音像製品有限公司##墨客行影業（北京）有限公司##雅美星有限公司##霍爾果斯泰洋川禾文化傳媒有限公司##百代環球(北京)國際資產管理有限公司##北京林夕影業有限公司##北京大美寰宇影業有限公司##星光聯盟影業無錫有限公司,1,13,-0.6285714285714286,1820.0,17994,3821716.0,20_1228-0103,94716742.0
9,英國,生為女人,2020-12-24T00:00:00,聯影企業股份有限公司,WESTEND FILMS LTD,9,321,-0.1132596685082873,62495.0,683,136801.0,20_1228-0103,94716742.0
10,澳洲,聖雅各的天空,2020-08-21T00:00:00,海鵬影業有限公司,Parkland Pictures Limited,2,178,0.5752212389380531,9180.0,9354,2005189.0,20_1228-0103,94716742.0
11,法國,高盧英雄歷險記：魔法藥水,2020-08-21T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,1910,1.0,545540.0,12616,2990799.0,20_1228-0103,94716742.0
12,日本,太陽之家,2020-09-25T00:00:00,天馬行空數位有限公司,"Nagoya broadcasting Network Co., Ltd.",1,10,-0.7222222222222222,1400.0,866,173343.0,20_1228-0103,94716742.0
13,日本,東京教父:4K數位修復版,2020-08-19T00:00:00,光年映畫有限公司,TOHOKUSHINSHA FILM CORPORATION		,5,41,-0.9302721088435374,9580.0,16550,3906354.0,20_1228-0103,94716742.0
14,西班牙,玩美女人 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,50,1.0,10560.0,688,144040.0,20_1228-0103,94716742.0
15,法國,森林特攻隊：大腳丫家族,2020-09-30T00:00:00,可樂藝術文創股份有限公司,Charades,2,72,-0.6149732620320856,8120.0,25042,5137584.0,20_1228-0103,94716742.0
16,西班牙,壞教慾 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,22,1.0,4740.0,686,146333.0,20_1228-0103,94716742.0
17,法國,退休大贏家,2020-09-04T00:00:00,海鵬影業有限公司,SOCIETE NOUVELLE DE DISTRIBUTION,1,24,-0.6190476190476191,2160.0,4202,869000.0,20_1228-0103,94716742.0
18,法國,寂寞調香師,2020-09-18T00:00:00,佳映娛樂國際股份有限公司,PYRAMIDE INTERNATIONAL,1,22,-0.7555555555555555,1920.0,1624,303345.0,20_1228-0103,94716742.0
19,巴西,中央車站:數位修復版,2020-09-11T00:00:00,光年映畫有限公司,MACT Productions,1,48,1.0,5450.0,6749,1476480.0,20_1228-0103,94716742.0
20,日本,手塚治虫迷幻少女,2020-12-18T00:00:00,天馬行空數位有限公司,NIKKATSU CORPORATION,4,37,-0.8177339901477833,7765.0,513,108930.0,20_1228-0103,94716742.0
21,日本,電影哆啦A夢：大雄的新恐龍,2020-09-25T00:00:00,車庫娛樂股份有限公司,"TOHO CO., LTD.",2,59,1.1851851851851851,11750.0,158540,37208690.0,20_1228-0103,94716742.0
22,西班牙,悄悄告訴她 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,40,1.0,8640.0,847,180920.0,20_1228-0103,94716742.0
23,西班牙,破碎的擁抱 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,46,1.0,9375.0,549,113386.0,20_1228-0103,94716742.0
24,法國,藥頭大媽,2020-10-16T00:00:00,原創娛樂股份有限公司,Le Pacte,2,89,-0.1188118811881188,13630.0,2008,404808.0,20_1228-0103,94716742.0
25,韓國,無價之保,2020-10-08T00:00:00,英屬維京群島商高捷全球開發有限公司 台灣分公司,"CJ ENM CO., LTD",7,587,1.6681818181818182,48815.0,31036,7096737.0,20_1228-0103,94716742.0
26,巴西,殺戮荒村,2020-09-25T00:00:00,捷傑有限公司,SBS Distribution,1,36,0.8,5580.0,3756,864847.0,20_1228-0103,94716742.0
27,日本,紫羅蘭永恆花園電影版,2020-09-30T00:00:00,采昌國際多媒體股份有限公司,"ABC Animation,INC.",1,66,0.43478260869565216,16259.0,108818,27083538.0,20_1228-0103,94716742.0
28,香港,聖荷西謀殺案,2020-10-30T00:00:00,華映娛樂股份有限公司,英皇影業有限公司##耳東文化(北京)有限公司##北京佟悅名新文化傳媒有限公司,4,159,-0.326271186440678,16130.0,2241,430016.0,20_1228-0103,94716742.0
29,韓國,紙花,2020-11-06T00:00:00,天馬行空數位有限公司,Studio Bonanza Inc.,1,7,-0.8409090909090909,1050.0,1329,267803.0,20_1228-0103,94716742.0
30,日本,鬼滅之刃劇場版 無限列車篇,2020-10-30T00:00:00,木棉花國際股份有限公司,Aniplex Inc.,89,57087,0.07749948094599951,16793059.0,2486315,598344379.0,20_1228-0103,94716742.0
31,馬來西亞,你是豬,2020-11-20T00:00:00,華映娛樂股份有限公司,NSP ENTERTAINMENT SDN BHD,1,24,-0.2,5980.0,7394,1696480.0,20_1228-0103,94716742.0
32,韓國,綠洲：數位經典版,2020-11-06T00:00:00,光年映畫有限公司,"FINECUT CO., LTD.",2,38,-0.6448598130841121,8950.0,4582,1030665.0,20_1228-0103,94716742.0
33,伊朗,緝毒風暴,2020-11-27T00:00:00,捷傑有限公司,Iranian Independents,1,19,-0.5957446808510638,3950.0,2249,512500.0,20_1228-0103,94716742.0
34,法國,85年的夏天,2020-12-18T00:00:00,好威映象有限公司,Playtime,11,450,-0.601063829787234,102075.0,2416,536387.0,20_1228-0103,94716742.0
35,匈牙利,怵目驚魂28天,2020-12-11T00:00:00,本萃電影有限公司,GEM ENTERTAINMENT KFT,1,19,-0.8362068965517241,4735.0,1315,305660.0,20_1228-0103,94716742.0
36,日本,名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,2020-11-20T00:00:00,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,18,1348,-0.25277161862527714,335335.0,102866,24519277.0,20_1228-0103,94716742.0
37,日本,GIVEN~被贈與的未來 劇場版,2020-11-06T00:00:00,水元素文化傳媒有限公司,SPO Entertainment Inc.,4,77,-0.32456140350877194,19386.0,17981,4491502.0,20_1228-0103,94716742.0
38,哥倫比亞,總是有個人在愛你,2020-12-18T00:00:00,海鵬影業有限公司,KINOLOGY,7,80,-0.8081534772182254,16140.0,895,180415.0,20_1228-0103,94716742.0
39,波蘭,只有悲傷才是美麗的,2020-12-04T00:00:00,海鵬影業有限公司,INTRAMOVIES SRL,1,13,-0.5,2880.0,1367,284355.0,20_1228-0103,94716742.0
40,越南,人性爆走課,2020-12-11T00:00:00,政駒實業有限公司,"FINECUT CO., LTD.",1,7,-0.7941176470588235,1770.0,691,154726.0,20_1228-0103,94716742.0
41,日本,尋找小魔女Doremi,2020-11-27T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"TOEI ANIMATION CO., LTD.",14,462,-0.6191261335531739,108084.0,59024,13961060.0,20_1228-0103,94716742.0
42,韓國,瑜珈怨,2020-12-04T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,1,17,-0.5641025641025641,3655.0,7121,1677660.0,20_1228-0103,94716742.0
43,日本,順其自然的日子,2020-12-18T00:00:00,可樂藝術文創股份有限公司,PONY CANYON INC.,17,181,-0.6478599221789884,42056.0,1274,305704.0,20_1228-0103,94716742.0
44,日本,約會大作戰 赤黑新章：紅或白,2020-12-04T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,9,39,-0.524390243902439,6538.0,1700,271573.0,20_1228-0103,94716742.0
45,日本,信用詐欺師JP:公主篇,2020-12-11T00:00:00,海樂影業股份有限公司,PONY CANYON INC.,30,1523,-0.6174328058276815,362711.0,22636,5380414.0,20_1228-0103,94716742.0
46,韓國,說唱藝人：希望之聲,2020-12-18T00:00:00,原創娛樂股份有限公司,"KT Hitel CO., LTD.",3,28,-0.8133333333333334,6885.0,494,112869.0,20_1228-0103,94716742.0
47,日本,新解釋．三國志,2020-12-11T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,41,3008,-0.33155555555555555,773737.0,32756,7885429.0,20_1228-0103,94716742.0
48,韓國,喬瑟與老虎、魚,2020-12-11T00:00:00,英屬維京群島商高捷全球開發有限公司 台灣分公司,K-MOVIE ENTERTAINMENT,3,48,-0.7798165137614679,10200.0,3524,815768.0,20_1228-0103,94716742.0
49,日本,魔睡,2020-12-24T00:00:00,英屬維京群島商映畫聯合有限公司台灣分公司,"KING RECORD CO., LTD.",3,8,-0.5789473684210527,1535.0,27,5145.0,20_1228-0103,94716742.0
50,義大利,鬼巢,2020-12-18T00:00:00,車庫娛樂股份有限公司,TRUE COLOURS GLORIOUS FILMS S.R.L.,15,128,-0.9005439005439005,29300.0,3168,735132.0,20_1228-0103,94716742.0
51,英國,來者弒客,2020-12-24T00:00:00,車庫娛樂股份有限公司,VERSATILE,33,1211,-0.5128720836685439,270444.0,3697,841123.0,20_1228-0103,94716742.0
52,越南,坑爹大作戰,2020-12-24T00:00:00,車庫娛樂股份有限公司,RELAY MOTION KFT.,3,19,-0.7934782608695652,4205.0,111,24630.0,20_1228-0103,94716742.0
53,英國,愛是您·愛是我,2020-12-24T00:00:00,東昊影業有限公司,Studiocanal S.A.S,14,1000,-0.40119760479041916,226096.0,2670,640199.0,20_1228-0103,94716742.0
54,加拿大,哈柏太空之旅 3D,2019-02-04T00:00:00,國際電影事業有限公司,IMAX Corporation,1,0,-1.0,0.0,695,102860.0,0104-0110,45568291.0
55,加拿大,深海獵奇 3D,2019-02-03T00:00:00,國際電影事業有限公司,IMAX Corporation,1,0,-1.0,0.0,1306,162859.0,0104-0110,45568291.0
56,日本,看不見的目擊者,2020-10-16T00:00:00,華映娛樂股份有限公司,"MOONWATCHER Co., Ltd",1,16,-0.5294117647058824,2480.0,16044,3634094.0,0104-0110,45568291.0
57,日本,角落小夥伴電影版：魔法繪本裡的新朋友(日語版),2020-07-03T00:00:00,威視股份有限公司,"ASMIK ACE, INC.",5,438,-0.3688760806916426,32685.0,344495,80261346.0,0104-0110,45568291.0
58,日本,藍色恐懼：數位修復版,2020-07-17T00:00:00,光年映畫有限公司,MADHOUSE Inc. ,1,7,-0.9758620689655172,1600.0,38132,9036906.0,0104-0110,45568291.0
59,英國,俘虜,2020-12-15T00:00:00,香港商甲上娛樂有限公司台灣分公司,HANWAY FILMS LIMITED,19,2922,1.0,711541.0,3268,789981.0,0104-0110,45568291.0
60,香港,麥路人,2020-09-17T00:00:00,華映娛樂股份有限公司,寰亞電影製作有限公司##無限動力實業有限公司##北京拉近影業有限公司##寰亞電影發行(北京）有限公司##中影寰亞音像製品有限公司##墨客行影業（北京）有限公司##雅美星有限公司##霍爾果斯泰洋川禾文化傳媒有限公司##百代環球(北京)國際資產管理有限公司##北京林夕影業有限公司##北京大美寰宇影業有限公司##星光聯盟影業無錫有限公司,1,9,-0.3076923076923077,990.0,18003,3822706.0,0104-0110,45568291.0
61,英國,生為女人,2020-12-24T00:00:00,聯影企業股份有限公司,WESTEND FILMS LTD,5,78,-0.7570093457943925,14530.0,761,151331.0,0104-0110,45568291.0
62,澳洲,聖雅各的天空,2020-08-21T00:00:00,海鵬影業有限公司,Parkland Pictures Limited,1,86,-0.5168539325842697,4300.0,9440,2009489.0,0104-0110,45568291.0
63,日本,東京教父:4K數位修復版,2020-08-19T00:00:00,光年映畫有限公司,TOHOKUSHINSHA FILM CORPORATION		,3,21,-0.4878048780487805,4520.0,16571,3910874.0,0104-0110,45568291.0
64,西班牙,玩美女人 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,9,-0.82,1980.0,697,146020.0,0104-0110,45568291.0
65,法國,森林特攻隊：大腳丫家族,2020-09-30T00:00:00,可樂藝術文創股份有限公司,Charades,1,22,-0.6944444444444444,3300.0,25064,5140884.0,0104-0110,45568291.0
66,西班牙,高跟鞋 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,9,1.0,1840.0,707,147594.0,0104-0110,45568291.0
67,巴西,中央車站:數位修復版,2020-09-11T00:00:00,光年映畫有限公司,MACT Productions,1,52,0.08333333333333333,5900.0,6801,1482380.0,0104-0110,45568291.0
68,西班牙,破碎的擁抱 經典數位修復,2020-10-30T00:00:00,天馬行空數位有限公司,TF1 DROITS AUDIOVISUELS ,1,14,-0.6956521739130435,2775.0,563,116161.0,0104-0110,45568291.0
69,法國,藥頭大媽,2020-10-16T00:00:00,原創娛樂股份有限公司,Le Pacte,2,34,-0.6179775280898876,5040.0,2042,409848.0,0104-0110,45568291.0
70,日本,工作細胞!!特別上映版 強『菌』來襲！人體腸道大騷動!,2020-10-08T00:00:00,木棉花國際股份有限公司,KODANSHA LTD.,2,209,1.0,43400.0,31672,7309497.0,0104-0110,45568291.0
71,韓國,無價之保,2020-10-08T00:00:00,英屬維京群島商高捷全球開發有限公司 台灣分公司,"CJ ENM CO., LTD",7,395,-0.3270868824531516,32965.0,31431,7129702.0,0104-0110,45568291.0
72,巴西,殺戮荒村,2020-09-25T00:00:00,捷傑有限公司,SBS Distribution,1,19,-0.4722222222222222,2950.0,3775,867797.0,0104-0110,45568291.0
73,日本,紫羅蘭永恆花園電影版,2020-09-30T00:00:00,采昌國際多媒體股份有限公司,"ABC Animation,INC.",1,34,-0.48484848484848486,8750.0,108852,27092288.0,0104-0110,45568291.0
74,香港,聖荷西謀殺案,2020-10-30T00:00:00,華映娛樂股份有限公司,英皇影業有限公司##耳東文化(北京)有限公司##北京佟悅名新文化傳媒有限公司,3,37,-0.7672955974842768,4290.0,2278,434306.0,0104-0110,45568291.0
75,日本,鬼滅之刃劇場版 無限列車篇,2020-10-30T00:00:00,木棉花國際股份有限公司,Aniplex Inc.,84,23456,-0.589118363200028,7666581.0,2509771,606010960.0,0104-0110,45568291.0
76,韓國,綠洲：數位經典版,2020-11-06T00:00:00,光年映畫有限公司,"FINECUT CO., LTD.",1,16,-0.5789473684210527,3080.0,4598,1033745.0,0104-0110,45568291.0
77,伊朗,緝毒風暴,2020-11-27T00:00:00,捷傑有限公司,Iranian Independents,1,1,-0.9473684210526315,210.0,2250,512710.0,0104-0110,45568291.0
78,法國,85年的夏天,2020-12-18T00:00:00,好威映象有限公司,Playtime,3,187,-0.5844444444444444,44620.0,2603,581007.0,0104-0110,45568291.0
79,日本,名偵探柯南：紅之校外旅行 鮮紅篇&戀紅篇,2020-11-20T00:00:00,曼迪傳播有限公司,YOMIURI TELECASTING CORPORATION,15,344,-0.744807121661721,87269.0,103210,24606546.0,0104-0110,45568291.0
80,日本,GIVEN~被贈與的未來 劇場版,2020-11-06T00:00:00,水元素文化傳媒有限公司,SPO Entertainment Inc.,1,29,-0.6233766233766234,7520.0,18010,4499022.0,0104-0110,45568291.0
81,紐西蘭,弒膽遊戲,2020-11-13T00:00:00,天馬行空數位有限公司,Evrit Consulting Kft.,1,30,1.0,4800.0,4999,1137974.0,0104-0110,45568291.0
82,法國,Miss,2020-11-23T00:00:00,原創娛樂股份有限公司,Other Angle Pictures,1,25,1.0,4000.0,584,132040.0,0104-0110,45568291.0
83,哥倫比亞,總是有個人在愛你,2020-12-18T00:00:00,海鵬影業有限公司,KINOLOGY,2,10,-0.875,2075.0,905,182490.0,0104-0110,45568291.0
84,波蘭,只有悲傷才是美麗的,2020-12-04T00:00:00,海鵬影業有限公司,INTRAMOVIES SRL,1,3,-0.7692307692307693,830.0,1370,285185.0,0104-0110,45568291.0
85,德國,水漾的女人,2020-12-31T00:00:00,海鵬影業有限公司,THE MATCH FACTORY,12,693,-0.1412639405204461,137160.0,1500,301349.0,0104-0110,45568291.0
86,日本,尋找小魔女Doremi,2020-11-27T00:00:00,薩摩亞商雄讚股份有限公司台灣分公司,"TOEI ANIMATION CO., LTD.",7,137,-0.7034632034632035,32224.0,59161,13993284.0,0104-0110,45568291.0
87,日本,午夜天鵝,2020-12-31T00:00:00,天馬行空數位有限公司,"KINOSHITA GROUP CO.,LTD.",19,1231,-0.15857826384142173,271920.0,2694,606727.0,0104-0110,45568291.0
