,country,name,releaseDate,issue,produce,theaterCount,tickets,ticketChangeRate,amounts,totalTickets,totalAmounts,week,week_amount
0,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",89,25994,0.28976878039098936,6171329.0,43787,10529205.0,1101-1107,7739559.0
1,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",88,18856,-0.2746018311918135,4454489.0,62643,14983694.0,1108-1114,5729052.0
2,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",88,11849,-0.37160585490029696,2829267.0,74492,17812961.0,1115-1121,8456463.0
3,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",88,12365,0.04354797873238248,2911166.0,86857,20724127.0,1122-1128,7746814.0
4,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",90,27015,1.18479579458148,6318497.0,113872,27042624.0,1129-1205,78670840.0
5,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",88,17518,-0.3515454377197853,4096217.0,131390,31138841.0,1206-1212,66005448.0
6,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",83,6391,-0.6351752483160178,1513119.0,137781,32651960.0,1213-1219,39061776.0
7,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",50,3182,-0.5021123454858395,741867.0,140963,33393827.0,1220-1226,25759859.0
8,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",23,1224,-0.6153362664990571,277094.0,142187,33670921.0,1227-0102,30376928.0
9,中華民國,瀑布,2021-10-29T00:00:00,本地風光電影股份有限公司,"本地風光電影股份有限公司,氧氣電影有限公司,鏡文學股份有限公司,三皇生物科技股份有限公司,百聿數碼創意股份有限公司,華映娛樂股份有限公司",5,160,-0.869281045751634,39140.0,142347,33710061.0,22_0103-0109,10268653.0
